"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg,category,exercise_id
"Hockey, field hockey",472,563,654,745,1.64782526567164,B,-1.0
"Hockey, ice hockey",472,563,654,745,1.64782526567164,B,-1.0
"Riding a horse, general",236,281,327,372,0.823235629850746,D,-1.0
"Horesback riding, saddling horse",207,246,286,326,0.721008179104478,D,-1.0
"Horseback riding, grooming horse",207,246,286,326,0.721008179104478,D,-1.0
"Horseback riding, trotting",384,457,531,605,1.33843490149254,B,-1.0
"Horseback riding, walking",148,176,204,233,0.515199271641791,D,0.0
"Horse racing, galloping",472,563,654,745,1.64782526567164,B,-1.0
"Horse grooming, moderate",354,422,490,558,1.23485344477612,C,-1.0
Horseshoe pitching,177,211,245,279,0.61742672238806,D,-1.0
Jai alai,708,844,981,1117,2.47106089552239,A,-1.0
"Martial arts, judo, karate, jujitsu",590,704,817,931,2.05944308059702,A,-1.0
"Martial arts, kick boxing",590,704,817,931,2.05944308059702,A,-1.0
"Martial arts, tae kwan do",590,704,817,931,2.05944308059702,A,-1.0
Krav maga training,590,704,817,931,2.05944308059702,A,-1.0
Juggling,236,281,327,372,0.823235629850746,D,-1.0
Kickball,413,493,572,651,1.44133935522388,B,-1.0
Lacrosse,472,563,654,745,1.64782526567164,B,-1.0
Orienteering,531,633,735,838,1.85295717014925,A,-1.0
Playing paddleball,354,422,490,558,1.23485344477612,C,-1.0
"Paddleball, competitive",590,704,817,931,2.05944308059702,A,-1.0
Polo,472,563,654,745,1.64782526567164,B,-1.0
"Racquetball, competitive",590,704,817,931,2.05944308059702,A,-1.0
Playing racquetball,413,493,572,651,1.44133935522388,B,-1.0
"Rock climbing, ascending rock",649,774,899,1024,2.2652519880597,A,-1.0
"Rock climbing, rappelling",472,563,654,745,1.64782526567164,B,-1.0
"Jumping rope, fast",708,844,981,1117,2.47106089552239,A,-1.0
"Jumping rope, moderate",590,704,817,931,2.05944308059702,A,-1.0
"Jumping rope, slow",472,563,654,745,1.64782526567164,B,-1.0
Rugby,590,704,817,931,2.05944308059702,A,-1.0
"Shuffleboard, lawn bowling",177,211,245,279,0.61742672238806,D,-1.0
Skateboarding,295,352,409,465,1.02972154029851,C,-1.0
Roller skating,413,493,572,651,1.44133935522388,B,-1.0
"Roller blading, in-line skating",708,844,981,1117,2.47106089552239,A,-1.0
Sky diving,177,211,245,279,0.61742672238806,D,-1.0
"Soccer, competitive",590,704,817,931,2.05944308059702,A,-1.0
Playing soccer,413,493,572,651,1.44133935522388,B,-1.0
Softball or baseball,295,352,409,465,1.02972154029851,C,-1.0
"Softball, officiating",236,281,327,372,0.823235629850746,D,-1.0
"Softball, pitching",354,422,490,558,1.23485344477612,C,-1.0
Squash,708,844,981,1117,2.47106089552239,A,-1.0
"Table tennis, ping pong",236,281,327,372,0.823235629850746,D,-1.0
Tai chi,236,281,327,372,0.823235629850746,D,-1.0
Playing tennis,413,493,572,651,1.44133935522388,B,-1.0
"Tennis, doubles",354,422,490,558,1.23485344477612,C,-1.0
"Tennis, singles",472,563,654,745,1.64782526567164,B,-1.0
Trampoline,207,246,286,326,0.721008179104478,D,-1.0
"Volleyball, competitive",472,563,654,745,1.64782526567164,B,-1.0
Playing volleyball,177,211,245,279,0.61742672238806,D,-1.0
"Volleyball, beach",472,563,654,745,1.64782526567164,B,-1.0
Wrestling,354,422,490,558,1.23485344477612,C,-1.0
Wallyball,413,493,572,651,1.44133935522388,B,-1.0
"Backpacking, Hiking with pack",413,493,572,651,1.44133935522388,B,-1.0
"Carrying infant, level ground",207,246,286,326,0.721008179104478,D,-1.0
"Carrying infant, upstairs",295,352,409,465,1.02972154029851,C,-1.0
"Carrying 16 to 24 lbs, upstairs",354,422,490,558,1.23485344477612,C,-1.0
"Carrying 25 to 49 lbs, upstairs",472,563,654,745,1.64782526567164,B,-1.0
"Standing, playing with children, light",165,197,229,261,0.576806543283582,D,-1.0
"Walk/run, playing with children, moderate",236,281,327,372,0.823235629850746,D,-1.0
